ID,Comments
1,"White people attacking police and no one was shot and killedðŸ¤”Now imagine if they were black.The police would of been using the""I feared for my life defence""That's why i fired my service weapon......."
2,yall needed 20 officers for one guy why yall ain punch it out 1 on 1
3,I think that cop wanted him attack metro loves any excuse to assult inmates
4,This is just like the judge attack. Got offended and impulse took control
5,Then he got his face slammed into the wall.
6,That guard wanted a fight.
7,Whatever he on had him feeling like he couldnt be messed with smh now look at cha ðŸ˜‚
8,When you say things like your a baby to a grown man expect something but the guy in cuffs was a brat
9,No respect for human life whatsoever
10,Cops are busters got handled with the homie in cuffs ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚
11,"The officer caused this
  He had no business following the man asking him what happened to his face. Teach him how to walk huh well he showed you ðŸ¤£ðŸ¤£ðŸ¤£"
12,Police Officer hear voice from Ivory Lee Jackson Patricia Jackson from Philadelphia pa Fernandina Fla Ivory Lee Jackson sister Stalkers Fla Jacksonville other cities in Florida from Philadelphia pa Females Stalker Two INMATES Patricia Jackson
13,ITS IN THEIR BAD DNA TO ACT UP
14,Oh no! Marijuana. The horror.
15,The Mexican instigated the inmate
16,The officer was instigating him.
17,OFC. Saavedra need more de-escalation training. he got but hurt. but he didn't do anything wrong at the end.
18,â¤ make them eork
19,"If you act like a baby, you'll be treated like one! Punk"
20,"obamaâ€™s son is 
 ANGRY & VIOLENT!

 big shocker."
21,"Comes in with a simple misdemeanor, leaves (maybe) with a felony. Good job, my guy! ðŸ˜‚"
22,"Not gonna lie, the 1st guy kinda looked and sounded a little like Kevin heart"
23,"Webbed foot dude cracked me up omfg, and the look on that female officers face j lookin at him ðŸ¤£ðŸ¤£ðŸ¤£"
24,"Is it a COs job to ask him questions about his case after heâ€™s already arrested? Every video I watch is COs antagonizing, grabbing or being rude to inmates. Why was he hovering over him in the first place when he was getting his vitals checked?"
25,Kevin hart trippin
26,"This wan not an ""intense brawl"" :D"
27,Don't bring your attitude to Las Vegas jail. They got something for you
28,That one officer let that man push his buttons so he reacted badly
29,And the stereotype continues...
30,"Sorry dude, but answering questions is pretty much a part of the deal. He voluntarily made it all into a big thing."
31,"""Did you teach me how to walk""?
 
 Well, no, but we're about to teach you how to writhe violently on the floor, using that marvelously effective teaching aid, Mr. Sparky!"
32,"i don't think its good idea to fight the cops one vs 100 cops,maybe hes been watching the equalizer"
33,"2:30 legit, they all act like this. Emotional and childish"
34,Guys but he went to the same college as Spike Lee that clearly means we are al inferior. What a chump throw the book at this toddler
35,Bro watched too many movies and thought he had to prove himself ðŸ˜‚ðŸ˜‚
36,He had sugar in his britches.
37,Standing up for your officers is important for morale. Great. Sgt.
38,If words hurt u
39,Get another job
40,She a cop? And she run off like that ? Ra
41,Lol you know that cop is a Democrat ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ keep voteing for These lawless pedophiles
42,Officer has nice thing'ings
43,Normal day in US
44,You cant identify these criminals because they are illegal
